TOP.6a821a7c.000e86ce	START
TOP.6a821a7c.000e86ce	user_options->markov_threshold	256
TOP.6a821a7c.000e86ce	user_options->metal_compiler_runtime	120
TOP.6a821a7c.000e86ce	user_options->multiply_accel	1
TOP.6a821a7c.000e86ce	user_options->backend_info	0
TOP.6a821a7c.000e86ce	user_options->backend_vector_width	0
TOP.6a821a7c.000e86ce	user_options->optimized_kernel	0
TOP.6a821a7c.000e86ce	user_options->outfile_autohex	1
TOP.6a821a7c.000e86ce	user_options->outfile_check_timer	5
TOP.6a821a7c.000e86ce	user_options->outfile_format	3
TOP.6a821a7c.000e86ce	user_options->outfile_json	0
TOP.6a821a7c.000e86ce	user_options->wordlist_autohex	1
TOP.6a821a7c.000e86ce	user_options->potfile	1
TOP.6a821a7c.000e86ce	user_options->progress_only	0
TOP.6a821a7c.000e86ce	user_options->quiet	0
TOP.6a821a7c.000e86ce	user_options->remove	0
TOP.6a821a7c.000e86ce	user_options->remove_timer	60
TOP.6a821a7c.000e86ce	user_options->restore	0
TOP.6a821a7c.000e86ce	user_options->restore_enable	1
TOP.6a821a7c.000e86ce	user_options->restore_timer	1
TOP.6a821a7c.000e86ce	user_options->rp_files_cnt	0
TOP.6a821a7c.000e86ce	user_options->rp_gen	0
TOP.6a821a7c.000e86ce	user_options->rp_gen_func_max	4
TOP.6a821a7c.000e86ce	user_options->rp_gen_func_min	1
TOP.6a821a7c.000e86ce	user_options->rp_gen_seed	0
TOP.6a821a7c.000e86ce	user_options->runtime	0
TOP.6a821a7c.000e86ce	user_options->scrypt_tmto	0
TOP.6a821a7c.000e86ce	user_options->segment_size	33554432
TOP.6a821a7c.000e86ce	user_options->self_test	1
TOP.6a821a7c.000e86ce	user_options->slow_candidates	0
TOP.6a821a7c.000e86ce	user_options->show	0
TOP.6a821a7c.000e86ce	user_options->speed_only	0
TOP.6a821a7c.000e86ce	user_options->spin_damp	0
TOP.6a821a7c.000e86ce	user_options->status	0
TOP.6a821a7c.000e86ce	user_options->status_json	0
TOP.6a821a7c.000e86ce	user_options->status_timer	10
TOP.6a821a7c.000e86ce	user_options->stdout_flag	0
TOP.6a821a7c.000e86ce	user_options->usage	0
TOP.6a821a7c.000e86ce	user_options->username	0
TOP.6a821a7c.000e86ce	user_options->veracrypt_pim_start	485
TOP.6a821a7c.000e86ce	user_options->veracrypt_pim_stop	485
TOP.6a821a7c.000e86ce	user_options->version	0
TOP.6a821a7c.000e86ce	user_options->workload_profile	2
TOP.6a821a7c.000e86ce	user_options->brain_client	0
TOP.6a821a7c.000e86ce	user_options->brain_client_features	2
TOP.6a821a7c.000e86ce	user_options->brain_server	0
TOP.6a821a7c.000e86ce	user_options->brain_server_timer	300
TOP.6a821a7c.000e86ce	user_options->brain_port	6863
TOP.6a821a7c.000e86ce	user_options->brain_session	0
TOP.6a821a7c.000e86ce	hashes->hashlist_mode	2
TOP.6a821a7c.000e86ce	hashes->hashlist_format	0
TOP.6a821a7c.000e86ce	hashes->hashes_cnt	0
TOP.6a821a7c.000e86ce	hashes->digests_cnt	1
TOP.6a821a7c.000e86ce	hashes->digests_done_pot	0
TOP.6a821a7c.000e86ce	hashes->digests_done_zero	0
TOP.6a821a7c.000e86ce	hashes->digests_done	0
TOP.6a821a7c.000e86ce	hashes->salts_cnt	1
TOP.6a821a7c.000e86ce	hashes->salts_done	0
TOP.6a821a7c.000e86ce	SUB.6a821a91.0003a05a	START
TOP.6a821a7c.000e86ce	SUB.6a821a91.0003a05a	straight_ctx->dict	C:\Users\XPATHER\Desktop\BurpSuite Academy\jwt-attacks\jwt.secrets.list
TOP.6a821a7c.000e86ce	SUB.6a821a91.0003a05a	runtime_start	1786911377
TOP.6a821a7c.000e86ce	SUB.6a821a91.0003a05a	runtime_stop	1786911377
TOP.6a821a7c.000e86ce	SUB.6a821a91.0003a05a	hashes->digests_done_new	1
TOP.6a821a7c.000e86ce	SUB.6a821a91.0003a05a	status-after-work	6
TOP.6a821a7c.000e86ce	SUB.6a821a91.0003a05a	STOP
TOP.6a821a7c.000e86ce	proc_start	1786911356
TOP.6a821a7c.000e86ce	proc_stop	1786911378
TOP.6a821a7c.000e86ce	STOP
